,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
623,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,720,1109, ,R4,468 WEST 23RD   STREET,4B,10011,1,0,1, -  , -  ,1900,2,R4,925000,22/08/2017 0:00
624,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,722,1017, ,R4,420 WEST 25TH STREET,2J,10001,1,0,1, -  , -  ,0,2,R4,975000,14/10/2016 0:00
625,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,722,1025, ,R4,420 WEST 25TH STREET,3G,10001,1,0,1, -  , -  ,0,2,R4,1995000,13/02/2017 0:00
626,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,722,1035, ,R4,420 WEST 25TH STREET,4G,10001,1,0,1, -  , -  ,0,2,R4, -  ,17/10/2016 0:00
627,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,722,1068, ,R4,420 WEST 25TH STREET,7K,10001,1,0,1, -  , -  ,0,2,R4,1495000,02/06/2017 0:00
628,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,722,1068, ,R4,420 WEST 25TH   STREET,7K,10001,1,0,1, -  , -  ,0,2,R4,1425000,30/09/2016 0:00
629,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,723,1001, ,R4,263 9 AVENUE,1A,10001,1,0,1, -  , -  ,0,2,R4,1750000,12/04/2017 0:00
630,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,723,1012, ,R4,263 NINTH AVENUE,3B,10001,1,0,1, -  , -  ,0,2,R4,2350000,17/04/2017 0:00
631,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,723,1026, ,R4,263 9 AVENUE,6A,10001,1,0,1, -  , -  ,0,2,R4,1950000,20/06/2017 0:00
632,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,723,1042, ,R4,263 9TH AVENUE,9B,10001,1,0,1, -  , -  ,0,2,R4,2575000,13/07/2017 0:00
633,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,738,1102, ,R4,66 9 AVENUE,2E,10011,1,0,1, -  , -  ,1920,2,R4,2250000,09/06/2017 0:00
634,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,738,1120, ,R4,66 9 AVENUE,8W,10011,1,0,1, -  , -  ,1920,2,R4,3175000,01/03/2017 0:00
635,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,738,1307, ,R4,345 WEST 14TH STREET,3A,10014,1,0,1, -  , -  ,1960,2,R4,2125000,14/07/2017 0:00
636,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,738,1311, ,R4,345 WEST 14TH   STREET,3E,10014,1,0,1, -  , -  ,1960,2,R4,2000000,21/11/2016 0:00
637,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,738,1314, ,R4,345 WEST 14TH   STREET,4B,10014,1,0,1, -  , -  ,1960,2,R4,2600000,09/05/2017 0:00
638,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,738,1315, ,R4,345 WEST 14TH STREET,4C,10014,1,0,1, -  , -  ,1960,2,R4,2955000,16/06/2017 0:00
639,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,742,1014, ,R4,305 WEST 18TH STREET,2C,10011,1,0,1, -  , -  ,1950,2,R4,882000,15/12/2016 0:00
640,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,742,1016, ,R4,305 WEST 18TH   STREET,4C,10011,1,0,1, -  , -  ,1950,2,R4,968000,19/05/2017 0:00
641,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,742,1020, ,R4,305 WEST 18TH STREET,2D,10011,1,0,1, -  , -  ,1950,2,R4,1025000,01/03/2017 0:00
642,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,742,1022, ,R4,305 WEST 18TH   STREET,4D,10011,1,0,1, -  , -  ,1950,2,R4,1145000,25/07/2017 0:00
643,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,742,1043, ,R4,305 WEST 18TH STREET,1H,10011,1,0,1, -  , -  ,1950,2,R4,675000,17/07/2017 0:00
644,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,746,1115, ,R4,344 WEST 23RD STREET,4A,10011,1,0,1, -  , -  ,1983,2,R4,1410000,07/04/2017 0:00
645,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,746,1117, ,R4,344 WEST 23RD STREET,4C,10011,1,0,1, -  , -  ,1983,2,R4, -  ,29/10/2016 0:00
646,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,746,1125, ,R4,344 WEST 23RD   STREET,6A,10011,1,0,1, -  , -  ,1983,2,R4,1440000,28/02/2017 0:00
647,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,746,1410, ,R4,324 WEST 23RD STREET,5B,10011,1,0,1, -  , -  ,0,2,R4,1820000,05/05/2017 0:00
648,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,746,1515, ,R4,312 WEST 23 STREET,1K,10011,1,0,1, -  , -  ,1948,2,R4,388037,05/01/2017 0:00
649,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,746,1580, ,R4,312 WEST 23RD STREET,4T,10011,1,0,1, -  , -  ,1948,2,R4,525000,01/02/2017 0:00
650,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,753,1122, ,R4,308 WEST 30TH STREET,4F,10001,1,0,1, -  , -  ,1925,2,R4, -  ,03/05/2017 0:00
651,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,753,1122, ,R4,308 WEST 30TH STREET,4F,10001,1,0,1, -  , -  ,1925,2,R4,820000,27/02/2017 0:00
652,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,764,1206, ,R4,245 WEST14TH STREET,3B,10011,1,0,1, -  , -  ,2009,2,R4,1751390,30/11/2016 0:00
653,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,764,1207, ,R4,245 WEST 14TH   STREET,3C,10011,1,0,1, -  , -  ,2009,2,R4, -  ,02/12/2016 0:00
654,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,766,1131, ,R4,270 WEST 17TH   STREET,3G,10011,1,0,1, -  , -  ,1989,2,R4,1750000,07/10/2016 0:00
655,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,766,1182, ,R4,270 WEST 17TH STREET,7C,10011,1,0,1, -  , -  ,1989,2,R4,977500,09/06/2017 0:00
656,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,766,1207, ,R4,270 WEST 17TH   STREET,10E,10011,1,0,1, -  , -  ,1989,2,R4, -  ,23/01/2017 0:00
657,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,766,1222, ,R4,270 WEST 17TH   STREET,15F,10011,1,0,1, -  , -  ,1989,2,R4,1300000,27/02/2017 0:00
658,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,766,1233, ,R4,270 WEST 17TH STREET,15G,10011,1,0,1, -  , -  ,1989,2,R4,1325000,28/10/2016 0:00
659,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,767,1107, ,R4,257 WEST 17TH STREET,3B,10011,1,0,1, -  , -  ,0,2,R4,1900000,08/03/2017 0:00
660,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,767,1110, ,R4,257 WEST 17TH   STREET,4A,10011,1,0,1, -  , -  ,0,2,R4,1,27/09/2016 0:00
661,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,767,1112, ,R4,257 WEST 17TH STREET,4C,10011,1,0,1, -  , -  ,0,2,R4, -  ,01/01/2017 0:00
662,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,767,1235, ,R4,201 WEST 17TH STREET,PH-F,10011,1,0,1, -  , -  ,0,2,R4,5250000,04/11/2016 0:00
663,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,767,1523, ,R4,212 WEST 18TH STREET,10D,10011,1,0,1, -  , -  ,1929,2,R4,16900000,13/01/2017 0:00
664,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,767,1532, ,R4,212 WEST 18TH   STREET,14A,10011,1,0,1, -  , -  ,1929,2,R4,14750000,25/07/2017 0:00
665,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,767,1547, ,R4,212 WEST 18TH STREET,18D,10011,1,0,1, -  , -  ,1929,2,R4,10000000,24/02/2017 0:00
666,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,767,1550, ,R4,212 WEST 18TH   STREET,PH5,10011,1,0,1, -  , -  ,1929,2,R4,17500000,08/03/2017 0:00
667,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,768,1024, ,R4,210 WEST 19TH   STREET,2D,10011,1,0,1, -  , -  ,1939,2,R4, -  ,23/02/2017 0:00
668,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,768,1029, ,R4,210 WEST 19TH   STREET,2J,10011,1,0,1, -  , -  ,1939,2,R4,900000,22/12/2016 0:00
669,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,768,1043, ,R4,210 WEST 19TH  STREET,4C,10011,1,0,1, -  , -  ,1939,2,R4,935000,26/05/2017 0:00
670,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,768,1063, ,R4,210 WEST 19TH STREET,6C,10011,1,0,1, -  , -  ,1939,2,R4,975000,29/03/2017 0:00
671,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,768,1147, ,R4,140 7TH AVENUE,5G,10011,1,0,1, -  , -  ,0,2,R4,250000,09/12/2016 0:00
672,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,768,1406, ,R4,270 WEST 19TH   STREET,3A,10011,1,0,1, -  , -  ,2004,2,R4, -  ,27/06/2017 0:00
673,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,769,1305, ,R4,251 WEST 19TH   STREET,1E,10011,1,0,1, -  , -  ,0,2,R4, -  ,13/06/2017 0:00
674,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,769,1315, ,R4,251 WEST 19TH   STREET,3D,10011,1,0,1, -  , -  ,0,2,R4,3025000,13/02/2017 0:00
675,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,769,1336, ,R4,251 WEST 19TH STREET,9A,10011,1,0,1, -  , -  ,0,2,R4, -  ,13/06/2017 0:00
676,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,769,1336, ,R4,251 WEST 19TH   STREET,9A,10011,1,0,1, -  , -  ,0,2,R4,3200000,01/06/2017 0:00
677,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,769,1338, ,R4,251 WEST 19TH STREET,9C,10011,1,0,1, -  , -  ,0,2,R4,3500000,23/09/2016 0:00
678,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,769,1341, ,R4,251 WEST 19TH STREET,10B,10011,1,0,1, -  , -  ,0,2,R4,2700000,26/07/2017 0:00
679,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,769,1407, ,R4,217 WEST 19TH STREET,6S,10011,1,0,1, -  , -  ,0,2,R4,3350000,08/11/2016 0:00
680,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,769,1413, ,R4,217 WEST 19TH STREET,11,10011,1,0,1, -  , -  ,0,2,R4,4450000,03/10/2016 0:00
681,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,773,1004, ,R4,200 WEST 24TH   STREET,3A,10011,1,0,1, -  , -  ,2004,2,R4,2050000,15/05/2017 0:00
682,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1027, ,R4,252 SEVENTH AVENUE,3X,10001,1,0,1, -  , -  ,0,2,R4, -  ,05/12/2016 0:00
683,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1034, ,R4,252 7 AVENUE,4C,10001,1,0,1, -  , -  ,0,2,R4,1750000,24/05/2017 0:00
684,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1035, ,R4,252 7 AVENUE,4D,10001,1,0,1, -  , -  ,0,2,R4,3060000,17/05/2017 0:00
685,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1039, ,R4,252 7 AVENUE,4H,10001,1,0,1, -  , -  ,0,2,R4,2788000,30/06/2017 0:00
686,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1042, ,R4,252 SEVENTH AVENUE,4K,10001,1,0,1, -  , -  ,0,2,R4,1500000,05/10/2016 0:00
687,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1042, ,R4,252 SEVENTH AVENUE,4K,10001,1,0,1, -  , -  ,0,2,R4,1500000,05/10/2016 0:00
688,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1042, ,R4,252 SEVENTH AVENUE,4K,10001,1,0,1, -  , -  ,0,2,R4, -  ,05/10/2016 0:00
689,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1114, ,R4,252 SEVENTH AVENUE,7E,10001,1,0,1, -  , -  ,0,2,R4,2600000,31/07/2017 0:00
690,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1171, ,R4,252 7 AVENUE,9J,10001,1,0,1, -  , -  ,0,2,R4,2275000,15/08/2017 0:00
691,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1176, ,R4,252 7 AVENUE,9O,10001,1,0,1, -  , -  ,0,2,R4,2600000,28/06/2017 0:00
692,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1210, ,R4,252 7TH AVENUE,10Y,10001,1,0,1, -  , -  ,0,2,R4,1750000,08/09/2016 0:00
693,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1256, ,R4,252 7 AVENUE,12Q,10001,1,0,1, -  , -  ,0,2,R4, -  ,05/01/2017 0:00
694,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1264, ,R4,252 SEVENTH AVENUE,12R,10001,1,0,1, -  , -  ,0,2,R4,3100000,02/02/2017 0:00
695,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1285, ,R4,252 7 AVENUE,PH-X,10001,1,0,1, -  , -  ,0,2,R4,5500000,14/06/2017 0:00
696,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1285, ,R4,252 7TH AVENUE,PH-X,10001,1,0,1, -  , -  ,0,2,R4, -  ,12/12/2016 0:00
697,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1317, ,R4,252 7 AVENUE,16M,10001,1,0,1, -  , -  ,0,2,R4, -  ,17/12/2016 0:00
698,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1333, ,R4,252 7 AVENUE,17N,10001,1,0,1, -  , -  ,0,2,R4,5300000,17/04/2017 0:00
699,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1342, ,R4,252 7 AVENUE,PH-J,10001,1,0,1, -  , -  ,0,2,R4, -  ,17/10/2016 0:00
700,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1350, ,R4,252 SEVENTH AVENUE,PH-A,10001,1,0,1, -  , -  ,0,2,R4,4550000,06/01/2017 0:00
701,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,774,1357, ,R4,252 SEVENTH AVENUE,PH-F,10001,1,0,1, -  , -  ,0,2,R4, -  ,06/12/2016 0:00
702,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,775,1204, ,R4,261 WEST 25TH   STREET,GRDND,10001,1,0,1, -  , -  ,2014,2,R4,3050000,24/01/2017 0:00
703,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,775,1227, ,R4,261 WEST 25TH STREET,6C,10001,1,0,1, -  , -  ,2014,2,R4,2562500,18/07/2017 0:00
704,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,775,1243, ,R4,261 WEST 25TH STREET,10A,10001,1,0,1, -  , -  ,2014,2,R4,1600000,10/08/2017 0:00
705,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,792,1043, ,R4,135 WEST 16TH STREET,662,10011,1,0,1, -  , -  ,1918,2,R4, -  ,15/12/2016 0:00
706,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,793,1025, ,R4,112 WEST 18TH STREET,3A,10011,1,0,1, -  , -  ,1899,2,R4,2700000,01/09/2016 0:00
707,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,793,1035, ,R4,112 WEST 18TH   STREET,18-6B,10011,1,0,1, -  , -  ,1899,2,R4,2945000,03/02/2017 0:00
708,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,793,1060, ,R4,120 WEST 18TH STREET,2B,10011,1,0,1, -  , -  ,1907,2,R4,1700000,23/03/2017 0:00
709,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,793,1213, ,R4,151 WEST 17TH   STREET,4C,10011,1,0,1, -  , -  ,0,2,R4,2550000,28/04/2017 0:00
710,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,793,1237, ,R4,151 WEST 17TH STREET,3G,10011,1,0,1, -  , -  ,0,2,R4,3050000,03/01/2017 0:00
711,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,793,1252, ,R4,151 WEST 17TH STREET,PH12G,10011,1,0,1, -  , -  ,0,2,R4,3828219,22/12/2016 0:00
712,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,793,1521, ,R4,100 WEST 18 ST,5C,10011,1,0,1, -  , -  ,2006,2,R4,3400000,17/02/2017 0:00
713,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,793,1522, ,R4,100 WEST 18TH   STREET,5D,10011,1,0,1, -  , -  ,2006,2,R4,2270000,18/08/2017 0:00
714,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,793,1524, ,R4,100 WEST 18TH STREET,5F,10011,1,0,1, -  , -  ,2006,2,R4, -  ,21/11/2016 0:00
715,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,793,1531, ,R4,100 WEST 18TH STREET,7A,10011,1,0,1, -  , -  ,2006,2,R4, -  ,16/03/2017 0:00
716,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,793,1603, ,R4,127 7 AVENUE,2B,10011,1,0,1, -  , -  ,2008,2,R4,990000,15/09/2016 0:00
717,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,794,1015, ,R4,130 WEST 19TH   STREET,4C,10011,1,0,1, -  , -  ,2005,2,R4,1725000,12/07/2017 0:00
718,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,794,1040, ,R4,130 WEST 19TH   STREET,8D,10011,1,0,1, -  , -  ,2005,2,R4,2085000,02/06/2017 0:00
719,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,794,1045, ,R4,130 WEST 19TH   STREET,9C,10011,1,0,1, -  , -  ,2005,2,R4,2000000,05/10/2016 0:00
720,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,794,1047, ,R4,130 WEST 19TH STREET,9E,10011,1,0,1, -  , -  ,2005,2,R4,2825000,29/06/2017 0:00
721,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,794,1105, ,R4,163 WEST 18TH   STREET,3A,10011,1,0,1, -  , -  ,2006,2,R4,2163100,05/12/2016 0:00
722,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,794,1118, ,R4,163 WEST 18TH STREET,8B,10011,1,0,1, -  , -  ,2006,2,R4,1470000,03/08/2017 0:00
723,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,794,1123, ,R4,163 WEST 18TH   STREET,10B,10011,1,0,1, -  , -  ,2006,2,R4,2050000,01/11/2016 0:00
724,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1301, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,5193075,16/11/2016 0:00
725,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1302, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,2189238,07/11/2016 0:00
726,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1303, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,5500000,29/03/2017 0:00
727,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1304, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,3864259,20/10/2016 0:00
728,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1306, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,1600000,14/06/2017 0:00
729,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1306, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,1374638,04/11/2016 0:00
730,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1307, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,4327562,05/10/2016 0:00
731,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1308, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,3971175,18/10/2016 0:00
732,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1309, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,2507441,03/11/2016 0:00
733,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1310, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,1476462,19/10/2016 0:00
734,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1311, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,4276650,31/10/2016 0:00
735,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1312, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,4174825,13/10/2016 0:00
736,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1313, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,2485000,03/03/2017 0:00
737,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1314, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,1636836,13/10/2016 0:00
738,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1315, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,4480300,13/10/2016 0:00
739,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1316, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,4174825,14/12/2016 0:00
740,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1317, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,2500000,30/12/2016 0:00
741,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1318, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,1629200,22/11/2016 0:00
742,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1319, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,4633038,20/10/2016 0:00
743,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1320, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,4429387,07/10/2016 0:00
744,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1321, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,2600000,27/01/2017 0:00
745,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1322, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,1807393,05/10/2016 0:00
746,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1323, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,5103978,18/10/2016 0:00
747,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1324, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,4531212,14/11/2016 0:00
748,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1325, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,2749275,31/10/2016 0:00
749,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1326, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,3500000,19/12/2016 0:00
750,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1327, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,11670000,30/12/2016 0:00
751,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1328, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,7835000,30/12/2016 0:00
752,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1329, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,7987500,30/12/2016 0:00
753,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            , ,794,1330, , ,155 WEST 18TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,8335000,30/12/2016 0:00
754,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,795,1014, ,R4,121 WEST 19TH   STREET,4A,10011,1,0,1, -  , -  ,0,2,R4,2250000,30/05/2017 0:00
755,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,795,1106, ,R4,130 WEST 20TH STREET,2D,10011,1,0,1, -  , -  ,2008,2,R4,205000,26/09/2016 0:00
756,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,795,1107, ,R4,130 WEST 20TH STREET,3A,10011,1,0,1, -  , -  ,2008,2,R4,950000,24/07/2017 0:00
757,1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,795,1114, ,R4,130 WEST 20TH   STREET,4D,10011,1,0,1, -  , -  ,2008,2,R4,1090000,10/04/2017 0:00
